,metabolite,name,description
615,5htrp,"""5-Hydroxy-L-tryptophan""","""Human Metabolome Database (HMDB): 5-Hydroxy-L-tryptophan is an aromatic amino acid naturally produced by the body from the essential amino acid L-tryptophan. 5-Hydroxy-L-tryptophan is the immediate precursor of the neurotransmitter serotonin. The conversion to serotonin is catalyzed by the enzyme aromatic L-amino acid decarboxylase (EC 4.1.1.28) (AADC1 also known as DOPA decarboxylase), an essential enzyme in the metabolism of the monoamine neurotransmitters. An accumulation of 5-hydroxy-L-tryptophan in cerebrospinal fluid occurs in aromatic L-amino acid decarboxylase deficiency (AADC deficiency) (OMIM: 608643) accompanied by an increased excretion in the urine of the patients, which are indicative of the disorder but not specific. 5-Hydroxy-L-tryptophan is also increased in other disorders such as in Parkinson's patients with severe postural instability and gait disorders. The amount of endogenous 5-hydroxy-L-tryptophan available for serotonin synthesis depends on the availability of tryptophan and on the activity of various enzymes, especially tryptophan hydroxylase (EC 1.14.16.4), indoleamine 2,3-dioxygenase (EC 1.13.11.52), and tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11). 5-Hydroxy-L-tryptophan has been used clinically for over 30 years. In addition to its use in the treatment of depression, the therapeutic administration of 5-hydroxy-L-tryptophan has been shown to be effective in treating a wide variety of conditions, including fibromyalgia, insomnia, binge eating associated with obesity, cerebellar ataxia, and chronic headaches. 5-Hydroxy-L-tryptophan easily crosses the blood-brain barrier and effectively increases central nervous system (CNS) synthesis of serotonin. Supplementation with 5-hydroxy-L-tryptophan is hypothesized to normalize serotonin synthesis, which is putatively related to its antidepressant properties (PMID: 9295177, 17240182, 16023217). When present in sufficiently high levels, 5-hydroxytryptophan can be a neurotoxin and a metabotoxin. A neurotoxin is a compound that disrupts or attacks neural cells or tissue. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Signs and symptoms of AADC deficiency generally appear in the first year of life. Affected infants may have severe developmental delay, weak muscle tone (hypotonia), muscle stiffness, difficulty moving, and involuntary writhing movements of the limbs (athetosis). They may be lacking in energy (lethargic), feed poorly, startle easily, and have sleep disturbances. Since 5-hydroxytryptophan is a precursor to serotonin, altered levels of serotonin can accumulate in the brain, which leads to abnormal neural signalling. Infants with AADC deficiency have very low levels of neural signalling molecules while individuals who consume high levels of 5-hydroxytryptophan will have very high levels of neural signalling molecules. Both conditions can lead to vomiting, nausea, extreme drowsiness, and lethargy. 5-Hydroxytryptophan (5-HTP), also known as oxitriptan (INN) is sold over-the-counter in the United Kingdom, the United States, and Canada as a dietary supplement for use as an antidepressant, appetite suppressant, and sleep aid. It is also marketed in many European countries for the indication of major depression under trade names such as Cincofarm, Levothym, Levotonine, Oxyfan, Telesol, Tript-OH, and Triptum. Several double-blind placebo-controlled clinical trials have demonstrated the effectiveness of 5-HTP in the treatment of depression, though a lack of high-quality studies has been noted. More and larger studies are needed to determine if 5-HTP is truly effective in treating depression."""
616,hspg_rest,"""Undegradable product GALASE_HS, Xyl-L-Ser (protein)""",""""""
617,5mthf,"""5-Methyltetrahydrofolic acid""","""Human Metabolome Database (HMDB): 5 methyltetrahydrofolic acid (5-MTHF) is the most biologically active form of the B-vitamin known as folic acid, also known generically as folate. 5-MTHF functions, in concert with vitamin B12, as a methyl-group donor involved in the conversion of the amino acid homocysteine to methionine. Methyl (CH3) group donation is vital to many bodily processes, including serotonin, melatonin, and DNA synthesis. Therapeutically, 5-MTHF is instrumental in reducing homocysteine levels, preventing neural tube defects, and improving vascular endothelial function. Research on folate supplementation suggests it plays a key role in preventing cervical dysplasia and protecting against neoplasia in ulcerative colitis. Folic acid also shows promise as part of a nutritional protocol to treat vitiligo, and may reduce inflammation of the gingiva. Furthermore, certain neurological, cognitive, and psychiatric presentations may be secondary to folate deficiency. Such presentations include depression, peripheral neuropathy, myelopathy, restless legs syndrome, insomnia, dementia, forgetfulness, irritability, endogenous depression, organic psychosis, and schizophrenia-like syndromes. After ingestion, the process of conversion of folic acid to the metabolically active coenzyme forms is relatively complex. Synthesis of the active forms of folic acid requires several enzymes, adequate liver and intestinal function, and adequate supplies of riboflavin (B2), niacin (B3), pyridoxine (B6), zinc, vitamin C, and serine. After formation of the coenzyme forms of the vitamin in the liver, these metabolically active compounds are secreted into the small intestine with bile (the folate enterohepatic cycle), where they are reabsorbed and distributed to tissues throughout the body. Human pharmacokinetic studies indicate folic acid has high bioavailability, with large oral doses of folic acid substantially raising plasma levels in healthy subjects in a time and dose dependent manner. Red blood cells (RBCs) appear to be the storage depot for folic acid, as RBC levels remain elevated for periods in excess of 40 days following discontinuation of supplementation. Folic acid is poorly transported to the brain and rapidly cleared from the central nervous system. The primary methods of elimination of absorbed folic acid are fecal (through bile) and urinary. Despite the biochemical complexity of this process, evidence suggests oral supplementation with folic acid increases the body's pool of 5-MTHF in healthy individuals. However, enzyme defects, mal-absorption, digestive system pathology, and liver disease can result in impaired ability to activate folic acid. In fact, some individuals have a severe congenital deficiency of the enzyme Methyl tetrahydrofolate reductase (5-MTHFR), which is needed to convert folic acid to 5-MTHF. Milder forms of this enzyme defect likely interact with dietary folate status to determine risk for some disease conditions. In individuals with a genetic defect of this enzyme (whether mild or severe), supplementation with 5- MTHF might be preferable to folic acid supplementation. (PMID: 17176169)."""
618,Ser_Thr,"""Protein-Linked Serine Or Threonine Residue (O-Glycosylation Site)""",""""""
619,kestopt,"""Kestopentaose (4 fru, 1 glc inulin-type fructo-oligosaccharide)""",""""""
620,phenol,"""Phenol""","""Human Metabolome Database (HMDB): Phenol, is a toxic, colourless crystalline solid with a sweet tarry odor that resembles a hospital smell. It is commonly used as an antiseptic and disinfectant. It is active against a wide range of micro-organisms including some fungi and viruses, but is only slowly effective against spores. It has been used to disinfect skin and to relieve itching. Phenol is also used in the preparation of cosmetics including sunscreens, hair dyes, and skin lightening preparations. It is also used in the production of drugs (it is the starting material in the industrial production of aspirin), weedkillers, and synthetic resins. Phenol can be found in areas with high levels of motor traffic, therefore, people living in crowded urban areas are frequently exposed to traffic-derived phenol vapor. The average (mean +/- SD) phenol concentration in urine among normal individuals living in urban areas is 7.4 +/- 2.2 mg/g of creatinine. Exposure of the skin to concentrated phenol solutions causes chemical burns which may be severe; in laboratories where it is used, it is usually recommended that polyethylene glycol solution is kept available for washing off splashes. Notwithstanding the effects of concentrated solutions, it is also used in cosmetic surgery as an exfoliant, to remove layers of dead skin (Wikipedia). In some bacteria phenol can be directly synthesized from tyrosine via the enzyme tyrosine phenol-lyase [EC:4.1.99.2]."""
621,actn_R,"""(R)-Acetoin""","""Human Metabolome Database (HMDB): Acetoin is a product of fermentation. It is a component of the butanediol cycle in microorganisms. In mammals it is oxidized to carbon dioxide. -- Pubchem; '3-Hydroxybutanone, also known as acetoin or acetyl methyl carbinol, is a chemical compound composed of carbon, hydrogen and oxygen. Its formula is C4H8O2. It is a colourless or pale yellow to green yellow liquid with a pleasant buttery odour. It is used as a food flavoring and a fragrance. -- Wikipedia."""
622,pyr,"""Pyruvic acid""","""Human Metabolome Database (HMDB): Pyruvic acid is an intermediate compound in the metabolism of carbohydrates, proteins, and fats. In thiamine deficiency, its oxidation is retarded and it accumulates in the tissues, especially in nervous structures (From Stedman, 26th ed.). Biological Source: Intermediate in primary metabolism including fermentation processes. Present in muscle in redox equilibrium with Lactic acid. A common constituent, as a chiral cyclic acetal linked to saccharide residues, of bacterial polysaccharides. Isolated from cane sugar fermentation broth and peppermint. Constituent of Bauhinia purpurea, Cicer arietinum (chickpea), Delonix regia, Pisum sativum (pea) and Trigonella caerulea (sweet trefoil) Use/Importance: Reagent for regeneration of carbonyl compdounds from semicarbazones, phenylhydrazones and oximes. Flavoring ingredient (Dictionary of Organic Compounds). Pyruvic acid is found to be associated with Fumarase deficiency, which is an inborn error of metabolism."""
623,MGlcn196,"""mucin-type O-glycan No 196""",null
624,MGlcn196_rl,"""released mucin-type O-glycan No 196""",null
625,MGlcn45,"""mucin-type O-glycan No 45""",null
626,MGlcn112,"""mucin-type O-glycan No 112""",null
627,MGlcn97,"""mucin-type O-glycan No 97""",null
628,MGlcn159,"""mucin-type O-glycan No 159""",null
629,MGlcn158,"""mucin-type O-glycan No 158""",null
630,MGlcn160,"""mucin-type O-glycan No 160""",null
631,MGlcn77,"""mucin-type O-glycan No 77""",null
632,MGlcn79,"""mucin-type O-glycan No 79""",null
633,MGlcn91,"""mucin-type O-glycan No 91""",null
634,MGlcn96,"""mucin-type O-glycan No 96""",null
635,MGlcn104,"""mucin-type O-glycan No 104""",null
636,MGlcn95,"""mucin-type O-glycan No 95""",null
637,MGlcn31,"""mucin-type O-glycan No 31""",null
638,MGlcn92,"""mucin-type O-glycan No 92""",null
639,MGlcn140,"""mucin-type O-glycan No 140""",null
640,MGlcn111,"""mucin-type O-glycan No 111""",null
641,MGlcn114,"""mucin-type O-glycan No 114""",null
642,MGlcn105,"""mucin-type O-glycan No 105""",null
643,MGlcn93,"""mucin-type O-glycan No 93""",null
644,MGlcn170,"""mucin-type O-glycan No 170""",null
645,MGlcn21,"""mucin-type O-glycan No 21""",null
646,MGlcn170_rl,"""released mucin-type O-glycan No 170""",null
647,MGlcn21_rl,"""released mucin-type O-glycan No 21""",null
648,MGlcn194,"""mucin-type O-glycan No 194""",null
649,MGlcn194_rl,"""released mucin-type O-glycan No 194""",null
650,MGlcn37,"""mucin-type O-glycan No 37""",null
651,MGlcn86,"""mucin-type O-glycan No 86""",null
652,MGlcn86_rl,"""released mucin-type O-glycan No 86""",null
653,MGlcn155_rl,"""released mucin-type O-glycan No 155""",null
654,MGlcn85_rl,"""released mucin-type O-glycan No 85""",null
655,MGlcn110_rl,"""released mucin-type O-glycan No 110""",null
656,MGlcn156_rl,"""released mucin-type O-glycan No 156""",null
657,MGlcn60_rl,"""released mucin-type O-glycan No 60""",null
658,MGlcn181,"""mucin-type O-glycan No 181""",null
659,MGlcn60,"""mucin-type O-glycan No 60""",null
660,MGlcn37_rl,"""released mucin-type O-glycan No 37""",null
661,MGlcn38_rl,"""released mucin-type O-glycan No 38""",null
662,ura,"""Uracil""","""Human Metabolome Database (HMDB): Uracil is a common naturally occurring pyrimidine found in RNA, it base pairs with adenine and is replaced by thymine in DNA. Methylation of uracil produces thymine. Uracil's use in the body is to help carry out the synthesis of many enzymes necessary for cell function through bonding with riboses and phosphates. Uracil serves as allosteric regulator and coenzyme for many important biochemical reactions. UDP and UTP regulate CPSase II activity in animals. UDP-glucose regulates the conversion of glucose to galactose in the liver and other tissues in the process of carbohydrate metabolism. Uracil is also involved in the biosynthesis of polysaccharides and the transportation of sugars containing aldehydes. Uracil is found to be associated with argininemia and carbamoyl phosphate synthetase deficiency, which are inborn errors of metabolism."""
663,uri,"""Uridine""","""Human Metabolome Database (HMDB): Uridine, also known as beta-uridine or 1-beta-D-ribofuranosylpyrimidine-2,4(1H,3H)-dione, is a member of the class of compounds known as pyrimidine nucleosides. Pyrimidine nucleosides are compounds comprising a pyrimidine base attached to a ribosyl or deoxyribosyl moiety. More specifically, uridine is a nucleoside consisting of uracil and D-ribose and a component of RNA. Uridine is soluble (in water) and a very weakly acidic compound (based on its pKa). Uridine can be synthesized from uracil. It is one of the five standard nucleosides which make up nucleic acids, the others being adenosine, thymidine, cytidine and guanosine. The five nucleosides are commonly abbreviated to their one-letter codes U, A, T, C and G respectively. Uridine is also a parent compound for other transformation products, including but not limited to, nikkomycin Z, 3'-(enolpyruvyl)uridine 5'-monophosphate, and 5-aminomethyl-2-thiouridine. Uridine can be found in most biofluids, including urine, breast milk, cerebrospinal fluid (CSF), and blood. Within the cell, uridine is primarily located in the mitochondria, in the nucleus and the lysosome. It can also be found in the extracellular space. As an essential nucleoside, uridine exists in all living species, ranging from bacteria to humans. In humans, uridine is involved in several metabolic disorders, some of which include dhydropyrimidinase deficiency,  MNGIE (mitochondrial neurogastrointestinal encephalopathy), and beta-ureidopropionase deficiency. Moreover, uridine is found to be associated with Lesch-Nyhan syndrome, which is an inborn error of metabolism. Uridine is a nucleoside consisting of uracil and D-ribose and a component of RNA. Uridine plays a role in the glycolysis pathway of galactose. In humans there is no catabolic process to metabolize galactose. Therefore, galactose is converted to glucose and metabolized via the normal glucose metabolism pathways. More specifically, consumed galactose is converted into galactose 1-phosphate (Gal-1-P). This molecule is a substrate for the enzyme galactose-1-phosphate uridyl transferase which transfers a UDP molecule to the galactose molecule. The end result is UDP-galactose and glucose-1-phosphate. This process is continued to allow the proper glycolysis of galactose. Uridine is found in many foods (anything containing RNA) but is destroyed in the liver and gastrointestinal tract, and so no food, when consumed, has ever been reliably shown to elevate blood uridine levels. On the other hand, consumption of RNA-rich foods may lead to high levels of purines (adenine and guanosine) in blood. High levels of purines are known to increase uric acid production and may aggravate or lead to conditions such as gout."""
664,MGlcn123_rl,"""released mucin-type O-glycan No 123""",null
665,MGlcn88_rl,"""released mucin-type O-glycan No 88""",null
666,MGlcn20,"""mucin-type O-glycan No 20""",null
667,MGlcn15_rl,"""released mucin-type O-glycan No 15""",null
668,MGlcn20_rl,"""released mucin-type O-glycan No 20""",null
669,MGlcn15,"""mucin-type O-glycan No 15""",null
670,MGlcn180,"""mucin-type O-glycan No 180""",null
671,MGlcn61,"""mucin-type O-glycan No 61""",null
672,MGlcn124,"""mucin-type O-glycan No 124""",null
673,MGlcn124_rl,"""released mucin-type O-glycan No 124""",null
674,MGlcn16,"""mucin-type O-glycan No 16""",null
675,MGlcn58,"""mucin-type O-glycan No 58""",null
676,MGlcn16_rl,"""released mucin-type O-glycan No 16""",null
677,MGlcn58_rl,"""released mucin-type O-glycan No 58""",null
678,MGlcn180_rl,"""released mucin-type O-glycan No 180""",null
679,MGlcn61_rl,"""released mucin-type O-glycan No 61""",null
680,MGlcn101_rl,"""released mucin-type O-glycan No 101""",null
681,MGlcn167_rl,"""released mucin-type O-glycan No 167""",null
682,MGlcn101,"""mucin-type O-glycan No 101""",null
683,MGlcn167,"""mucin-type O-glycan No 167""",null
684,MGlcn6,"""mucin-type O-glycan No 6""",null
685,MGlcn179_rl,"""released mucin-type O-glycan No 179""",null
686,MGlcn6_rl,"""released mucin-type O-glycan No 6""",null
687,MGlcn128_rl,"""released mucin-type O-glycan No 128""",null
688,MGlcn130_rl,"""released mucin-type O-glycan No 130""",null
689,MGlcn168_rl,"""released mucin-type O-glycan No 168""",null
690,MGlcn102,"""mucin-type O-glycan No 102""",null
691,MGlcn102_rl,"""released mucin-type O-glycan No 102""",null
692,MGlcn181_rl,"""released mucin-type O-glycan No 181""",null
693,MGlcn128,"""mucin-type O-glycan No 128""",null
694,MGlcn130,"""mucin-type O-glycan No 130""",null
695,MGlcn168,"""mucin-type O-glycan No 168""",null
696,MGlcn62,"""mucin-type O-glycan No 62""",null
697,MGlcn171,"""mucin-type O-glycan No 171""",null
698,MGlcn57,"""mucin-type O-glycan No 57""",null
699,MGlcn62_rl,"""released mucin-type O-glycan No 62""",null
700,MGlcn171_rl,"""released mucin-type O-glycan No 171""",null
701,MGlcn57_rl,"""released mucin-type O-glycan No 57""",null
702,MGlcn129,"""mucin-type O-glycan No 129""",null
703,MGlcn129_rl,"""released mucin-type O-glycan No 129""",null
704,MGlcn169,"""mucin-type O-glycan No 169""",null
705,MGlcn131,"""mucin-type O-glycan No 131""",null
706,MGlcn131_rl,"""released mucin-type O-glycan No 131""",null
707,MGlcn169_rl,"""released mucin-type O-glycan No 169""",null
708,MGlcn123,"""mucin-type O-glycan No 123""",null
709,MGlcn88,"""mucin-type O-glycan No 88""",null
710,MGlcn7_rl,"""released mucin-type O-glycan No 7""",null
711,MGlcn121_rl,"""released mucin-type O-glycan No 121""",null
712,MGlcn122_rl,"""released mucin-type O-glycan No 122""",null
713,MGlcn121,"""mucin-type O-glycan No 121""",null
714,MGlcn122,"""mucin-type O-glycan No 122""",null
715,MGlcn179,"""mucin-type O-glycan No 179""",null
716,gly,"""Glycine""","""Human Metabolome Database (HMDB): Glycine is a simple, nonessential amino acid, although experimental animals show reduced growth on low-glycine diets. The average adult ingests 3 to 5 grams of glycine daily. Glycine is involved in the body's production of DNA, phospholipids and collagen, and in release of energy. Glycine levels are effectively measured in plasma in both normal patients and those with inborn errors of glycine metabolism (http://www.dcnutrition.com/AminoAcids/). Nonketotic hyperglycinaemia (OMIM 606899) is an autosomal recessive condition caused by deficient enzyme activity of the glycine cleavage enzyme system (EC 2.1.1.10). The glycine cleavage enzyme system comprises four proteins: P-, T-, H- and L-proteins (EC 1.4.4.2, EC 2.1.2.10 and EC 1.8.1.4 for P-, T- and L-proteins). Mutations have been described in the GLDC (OMIM 238300), AMT (OMIM 238310), and GCSH (OMIM 238330) genes encoding the P-, T-, and H-proteins respectively. The glycine cleavage system catalyses the oxidative conversion of glycine into carbon dioxide and ammonia, with the remaining one-carbon unit transferred to folate as methylenetetrahydrofolate. It is the main catabolic pathway for glycine and it also contributes to one-carbon metabolism. Patients with a deficiency of this enzyme system have increased glycine in plasma, urine and cerebrospinal fluid (CSF) with an increased CSF: plasma glycine ratio (PMID 16151895). Glycine is also found to be associated with carbamoyl phosphate synthetase deficiency, iminoglycinuria, maple syrup urine disease, phenylketonuria, propionic acidemia, sarcosinemia, and tyrosinemia I, which are inborn errors of metabolism."""
717,asp_L,"""L-Aspartic acid""","""Human Metabolome Database (HMDB): Aspartic acid (Asp, D), also known as aspartate, the name of its anion, is one of the 20 natural proteinogenic amino acids which are the building blocks of proteins. As its name indicates, aspartic acid is the carboxylic acid analog of asparagine. As a neurotransmitter, aspartic acid may provide resistance to fatigue and thus lead to endurance, although the evidence to support this idea is not strong. (http://en.wikipedia.org/wiki/Aspartic_acid) Aspartic acid is a nonessential amino acid which is made from glutamic acid by enzymes using vitamin B6. The amino acid has important roles in the urea cycle and DNA metabolism. Aspartic acid is a major excitatory neurotransmitter, which is sometimes found to be increased in epileptic and stroke patients. It is decreased in depressed patients and in patients with brain atrophy. Aspartic acid supplements are being evaluated. Five grams can raise blood levels. Magnesium and zinc may be natural inhibitors of some of the actions of aspartic acid. Aspartic acid, with the amino acid phenylalanine, is a part of a new natural sweetener, aspartame. This sweetener is an advance in artificial sweeteners, and is probably safe in normal doses to all except phenylketonurics. The jury is still out on the long term effects it has on many brain neurohormones. Aspartic acid may be a significant immunostimulant of the thymus and can protect against some of the damaging effects of radiation. Many claims have been made for the special value of administering aspartic acid in the form of potassium and magnesium salts. Since aspartic acid is relatively nontoxic, studies are now in progress to elucidate its pharmacological and therapeutic roles. (http://www.dcnutrition.com/AminoAcids)."""
718,glu_L,"""L-Glutamic acid""","""Human Metabolome Database (HMDB): Glutamic acid (Glu), also referred to as glutamate (the anion), is one of the 20 proteinogenic amino acids. It is not among the essential amino acids. Glutamate is a key molecule in cellular metabolism. In humans, dietary proteins are broken down by digestion into amino acids, which serves as metabolic fuel or other functional roles in the body. Glutamate is the most abundant fast excitatory neurotransmitter in the mammalian nervous system. At chemical synapses, glutamate is stored in vesicles. Nerve impulses trigger release of glutamate from the pre-synaptic cell. In the opposing post-synaptic cell, glutamate receptors, such as the NMDA receptor, bind glutamate and are activated. Because of its role in synaptic plasticity, it is believed that glutamic acid is involved in cognitive functions like learning and memory in the brain. Glutamate transporters are found in neuronal and glial membranes. They rapidly remove glutamate from the extracellular space. In brain injury or disease, they can work in reverse and excess glutamate can accumulate outside cells. This process causes calcium ions to enter cells via NMDA receptor channels, leading to neuronal damage and eventual cell death, and is called excitotoxicity. The mechanisms of cell death include: Damage to mitochondria from excessively high intracellular Ca2+. Glu/Ca2+-mediated promotion of transcription factors for pro-apoptotic genes, or downregulation of transcription factors for anti-apoptotic genes. Excitotoxicity due to glutamate occurs as part of the ischemic cascade and is associated with stroke and diseases like amyotrophic lateral sclerosis, lathyrism, and Alzheimer's disease. glutamic acid has been implicated in epileptic seizures. Microinjection of glutamic acid into neurons produces spontaneous depolarization around one second apart, and this firing pattern is similar to what is known as paroxysmal depolarizing shift in epileptic attacks. This change in the resting membrane potential at seizure foci could cause spontaneous opening of voltage activated calcium channels, leading to glutamic acid release and further depolarization (http://en.wikipedia.org/wiki/Glutamic_acid). Moreover, glutamic acid is found to be associated with N-acetylglutamate synthetase deficiency, which is an inborn error of metabolism."""
719,met_L,"""L-Methionine""","""Human Metabolome Database (HMDB): Methionine is an essential amino acid (there are 9 essential amino acids) required for normal growth and development of humans, other mammals, and avian species. In addition to being a substrate for protein synthesis, it is an intermediate in transmethylation reactions, serving as the major methyl group donor in vivo, including the methyl groups for DNA and RNA intermediates. Methionine is a methyl acceptor for 5-methyltetrahydrofolate-homocysteine methyltransferase (methionine synthase), the only reaction that allows for the recycling of this form of folate, and is also a methyl acceptor for the catabolism of betaine. Methionine is the metabolic precursor for cysteine. Only the sulfur atom from methionine is transferred to cysteine; the carbon skeleton of cysteine is donated by serine (PMID: 16702340). There is a general consensus concerning normal sulfur amino acid (SAA) requirements. WHO recommendations amount to 13 mg/kg per 24 h in healthy adults. This amount is roughly doubled in artificial nutrition regimens. In disease or after trauma, requirements may be altered for methionine, cysteine, and taurine. Although in specific cases of congenital enzyme deficiency, prematurity, or diminished liver function, hypermethioninemia or hyperhomocysteinemia may occur, SAA supplementation can be considered safe in amounts exceeding 2-3 times the minimum recommended daily intake. Apart from some very specific indications (e.g. acetaminophen poisoning) the usefulness of SAA supplementation is not yet established (PMID: 16702341). Methionine is known to exacerbate psychopathological symptoms in schizophrenic patients, but there is no evidence of similar effects in healthy subjects. The role of methionine as a precursor of homocysteine is the most notable cause for concern. Acute doses of methionine can lead to acute increases in plasma homocysteine, which can be used as an index of the susceptibility to cardiovascular disease. Sufficiently high doses of methionine can actually result in death. Longer-term studies in adults have indicated no adverse consequences of moderate fluctuations in dietary methionine intake, but intakes higher than 5 times the normal amount resulted in elevated homocysteine levels. These effects of methionine on homocysteine and vascular function are moderated by supplements of vitamins B-6, B-12, C, and folic acid (PMID: 16702346). When present in sufficiently high levels, methionine can act as an atherogen and a metabotoxin. An atherogen is a compound that when present at chronically high levels causes atherosclerosis and cardiovascular disease. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of methionine are associated with at least ten inborn errors of metabolism, including cystathionine beta-synthase deficiency, glycine N-methyltransferase deficiency, homocystinuria, tyrosinemia, galactosemia, homocystinuria-megaloblastic anemia due to defects in cobalamin metabolism, methionine adenosyltransferase deficiency, methylenetetrahydrofolate reductase deficiency, and S-adenosylhomocysteine (SAH) hydrolase deficiency. Chronically elevated levels of methionine in infants can lead to intellectual disability and other neurological problems, delays in motor skills, sluggishness, muscle weakness, and liver problems. Many individuals with these metabolic disorders tend to develop cardiovascular disease later in life. Studies on feeding rodents high levels of methionine have shown that methionine promotes atherosclerotic plaques independently of homocysteine levels (PMID: 26647293). A similar study in Finnish men showed the same effect (PMID: 16487911)."""
720,pro_L,"""L-Proline""","""Human Metabolome Database (HMDB): L-proline is one of the twenty amino acids used in living organisms as the building blocks of proteins. Proline is sometimes called an imino acid, although the IUPAC definition of an imine requires a carbon-nitrogen double bond. Proline is a non-essential amino acid that is synthesized from glutamic acid. It is an essential component of collagen and is important for proper functioning of joints and tendons. Proline is derived from the amino acid L-glutamate in which glutamate-5-semialdehyde is first formed by glutamate 5-kinase and glutamate-5-semialdehyde dehydrogenase (which requires NADH or NADPH). This semialdehyde can then either spontaneously cyclize to form 1-pyrroline-5-carboxylic acid, which is reduced to proline by pyrroline-5-carboxylate reductase, or turned into ornithine by ornithine aminotransferase, followed by cyclization by ornithine cyclodeaminase to form proline. L-Proline has been found to act as a weak agonist of the glycine receptor and of both NMDA and non-NMDA ionotropic glutamate receptors. It has been proposed to be a potential endogenous excitotoxin/neurotoxin. Studies in rats have shown that when injected into the brain, proline non-selectively destroys pyramidal and granule cells (PMID: 3409032). Therefore, under certain conditions proline can act as a neurotoxin and a metabotoxin. A neurotoxin causes damage to nerve cells and nerve tissues. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of proline are associated with at least five inborn errors of metabolism, including hyperprolinemia type I, hyperprolinemia type II, iminoglycinuria, prolinemia type II, and pyruvate carboxylase deficiency. People with hyperprolinemia type I often do not show any symptoms even though they have proline levels in their blood between 3 and 10 times the normal level. Some individuals with hyperprolinemia type I exhibit seizures, intellectual disability, or other neurological or psychiatric problems. Hyperprolinemia type II results in proline levels in the blood between 10 and 15 times higher than normal, and high levels of a related compound called pyrroline-5-carboxylate. Hyperprolinemia type II has signs and symptoms that vary in severity, and is more likely than type I to involve seizures or intellectual disability."""
721,ile_L,"""L-Isoleucine""","""Human Metabolome Database (HMDB): Branched chain amino acids (BCAA) are essential amino acids whose carbon structure is marked by a branch point. These three amino acids are critical to human life and are particularly involved in stress, energy and muscle metabolism. BCAA supplementation as therapy, both oral and intravenous, in human health and disease holds great promise. \""BCAA\"" denotes valine, isoleucine and leucine which are branched chain essential amino acids. Despite their structural similarities, the branched amino acids have different metabolic routes, with valine going solely to carbohydrates, leucine solely to fats and isoleucine to both. The different metabolism accounts for different requirements for these essential amino acids in humans: 12 mg/kg, 14 mg/kg and 16 mg/kg of valine, leucine and isoleucine respectively. Furthermore, these amino acids have different deficiency symptoms. Valine deficiency is marked by neurological defects in the brain, while isoleucine deficiency is marked by muscle tremors. BCAA are decreased in patients with liver disease, such as hepatitis, hepatic coma, cirrhosis, extrahepatic biliary atresia or portacaval shunt; aromatic amino acids (AAA)-tyrosine, tryptophan and phenylalanine, as well as methionine-are increased in these conditions. Valine, in particular, has been established as a useful supplemental therapy to the ailing liver. All the BCAA probably compete with AAA for absorption into the brain. Supplemental BCAA with vitamin B6 and zinc help normalize the BCAA:AAA ratio. The BCAA are not without side effects. Leucine alone, for example, exacerbates pellagra and can cause psychosis in pellagra patients by increasing excretion of niacin in the urine. Leucine may lower brain serotonin and dopamine. A dose of 3 g of isoleucine added to the niacin regime has cleared leucine-aggravated psychosis in schizophrenic patients. Isoleucine may have potential as an antipsychotic treatment. Leucine is more highly concentrated in foods than other amino acids. A cup of milk contains 800 mg of leucine and only 500 mg of isoleucine and valine. A cup of wheat germ has about 1.6 g of leucine and 1 g of isoleucine and valine. The ratio evens out in eggs and cheese. One egg and an ounce of most cheeses each contain about 400 mg of leucine and 400 mg of valine and isoleucine. The ratio of leucine to other BCAA is greatest in pork, where leucine is 7 to 8 g and the other BCAA together are only 3 to 4 g (http://www.dcnutrition.com). Moreover, L-isoleucine is found to be associated with maple syrup urine disease, which is an inborn error of metabolism."""
